k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,3.0,4,172.1026574142615,21.31882703256782,-46.62278130284806,39.81481481481482,55.23897058823529,-5.3994080558453454
10,3.0,5,159.90766297417704,20.984584214883427,-46.62278130284805,39.56228956228956,55.05514705882353,-5.3994080558453454
10,3.0,6,160.67524613702406,21.006334369842495,-46.622781302848026,38.38383838383838,48.98897058823529,-5.3994080558453454
10,3.0,7,155.8832877242835,20.86887925846672,-46.62278130284802,38.63636363636363,48.98897058823529,-5.3994080558453454
10,3.0,8,154.78944456685159,20.836933133364056,-46.622781302848026,38.46801346801347,55.60661764705882,-5.3994080558453454
10,3.0,9,176.69272725626195,21.438755915938135,-46.622781302848026,41.4983164983165,55.60661764705882,-5.3994080558453454
10,3.0,10,178.8865490759581,21.49502057590682,-46.62278130284804,45.11784511784512,55.60661764705882,-5.3994080558453454
10,3.0,11,173.05117064318807,21.34385999088726,-46.62278130284802,43.09764309764309,55.14705882352941,-5.3994080558453454
10,3.0,12,176.92323615807237,21.444699264722857,-46.62278130284806,44.86531986531986,55.14705882352941,-5.3994080558453454
10,3.0,13,182.53582090658037,21.58715807676106,-46.62278130284805,44.19191919191919,55.33088235294118,-5.3994080558453454
10,3.0,14,171.69164869936628,21.307938517647074,-46.62278130284802,40.48821548821549,55.14705882352941,-5.3994080558453454
10,3.0,15,164.34492822141638,21.108955348648205,-46.62278130284804,39.47811447811448,54.96323529411765,-5.3994080558453454
10,3.0,16,167.473841254164,21.19472680741705,-46.62278130284804,39.56228956228956,55.05514705882353,-5.3994080558453454
10,3.0,18,150.96976576357577,20.72364789878396,-46.62278130284805,38.88888888888889,54.6875,-5.3994080558453454
10,3.0,20,141.85758338385338,20.441846358847272,-46.62278130284802,38.804713804713806,48.4375,-5.3994080558453454
10,3.0,22,139.14372044562347,20.354545117684488,-46.62278130284804,38.804713804713806,47.97794117647059,-5.3994080558453454
10,3.0,24,129.47772528266597,20.02969983675209,-46.622781302848026,38.38383838383838,43.93382352941176,-5.3994080558453454
10,3.0,26,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,3.0,28,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
